date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:46	313/313	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2002:43:05%20GMT	https://demo.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html	C:/My%20Web%20Sites/web6/demo.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.0.delayed	(from )
19:42:51	43801/43801	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:06%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html	(from )
19:42:54	1003/1003	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:08:21%20GMT	https://p.w3layouts.com/robots.txt		(from )
19:42:58	219071/219071	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2011:13:40%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/css/style-freedom.css	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/css/style-freedom.css	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:42:59	68053/68053	---M-Z	200	added ('OK')	application/javascript	etag:%22f0dc887d4604e5d68995d1237ecdde3a%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/web6/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:02	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/web6/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:02	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/web6/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:10	31469/31469	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:22%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/about.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/about.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:11	24107/24107	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:30%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/services.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/services.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:12	25940/25940	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:31%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/events.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/events.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:14	44237/44237	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:31%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/single.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/single.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:20	26055/26055	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:34%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/team-single.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/team-single.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:21	25781/25781	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:40%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/gallery.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/gallery.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:22	24648/24648	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:41%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/search-results.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/search-results.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:23	22285/22285	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:42%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/timeline.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/timeline.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:23	27290/27290	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:42%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/faq.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/faq.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:23	9137/9137	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:43%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/404.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/404.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:24	12150/12150	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:43%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/coming-soon.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/coming-soon.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:24	10088/10088	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:43%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/login.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/login.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:24	10161/10161	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:43%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/signup.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/signup.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:25	33387/33387	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:44%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/email-template.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/email-template.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:27	27173/27173	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:44%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/blog.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/blog.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:28	26356/26356	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:47%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/blog-single.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/blog-single.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:28	29597/29597	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:47%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/blog-single1.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/blog-single1.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:29	31678/31678	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:48%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/ecommerce.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/ecommerce.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:29	23819/23819	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:48%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/ecommerce-single.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/ecommerce-single.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:30	23759/23759	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:49%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/ecommerce-cart.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/ecommerce-cart.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:31	22965/22965	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2002:43:50%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/contact.html	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/contact.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:32	69917/69917	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2012%20Feb%202020%2011:13:40%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/js/jquery-3.3.1.min.js	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:36	74073/74073	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2011:13:40%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/images/e1.jpg	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/images/e1.jpg	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:37	68735/68735	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2011:13:40%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/images/e2.jpg	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/images/e2.jpg	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
19:43:44	51540/51540	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2011:13:40%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/images/e3.jpg	C:/My%20Web%20Sites/web6/p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/assets/images/e3.jpg	(from https://p.w3layouts.com/demosWTR/Freedom/12-02-2020/night_club-freedom-demo_Free/396658655/web/index.html)
